year,venue,title,authors,paper,supplements,code,summary
2025,Preprint,El0ps: An exact L0-regularized problem solver,"Théo Guyard, Cédric Herzet, Clément Elvira",https://arxiv.org/pdf/2506.06373,,https://github.com/TheoGuyard/El0ps,
2025,Preprint,A generic branch-and-bound algorithm for L0-regularized problems,"Clément Elvira, Théo Guyard, Cédric Herzet",https://arxiv.org/pdf/2506.03974,,https://github.com/TheoGuyard/El0ps,
2024,PhD thesis,Branch-and-bound algorithms for L0-regularized problems,"Théo Guyard",https://hal.science/tel-04926869v1/document,,https://github.com/TheoGuyard/El0ps,https://github.com/TheoGuyard/paper_2025_Phd-summary/raw/main/aux/main.pdf
2024,ICML (International Conference on Machine Learning),A new branch-and-bound pruning framework for L0-regularized problems,"Théo Guyard, Cédric Herzet, Clément Elvira, Ayşe-Nur Arslan",https://openreview.net/pdf?id=xPmSNLle1w,,https://github.com/TheoGuyard/El0ps,
2023,EUSIPCO (European Signal Processing Conference),Safe peeling for L0-regularized least-squares,"Théo Guyard, Gilles Monnoyer, Cédric Herzet, Clément Elvira",https://eurasip.org/Proceedings/Eusipco/Eusipco2023/pdfs/0001748.pdf,https://arxiv.org/pdf/2302.14471,https://github.com/TheoGuyard/BnbPeeling.jl,
2023,ROADEF (Conference of the French Operation Research Society),An efficient solver for L0-penalized sparse problems,"Théo Guyard",https://roadef2023.sciencesconf.org/434606/document,,https://github.com/TheoGuyard/El0ps.jl,
2023,GRETSI (Conference of the French Signal Processing Society),Peeling pour le problème des moindres carrés avec régularisation L0,"Théo Guyard, Gilles Monnoyer, Cédric Herzet, Clément Elvira",https://gretsi.fr/data/colloque/pdf/2023_guyard1061.pdf,,https://github.com/TheoGuyard/BnbPeeling.jl,
2022,"ICASSP (IEEE International Conference on Acoustics, Speech, and Signal Processing)",Node-screening tests for L0-penalized least-squares problem,"Théo Guyard, Cédric Herzet, Clément Elvira",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9747563,https://arxiv.org/pdf/2110.07308,https://github.com/TheoGuyard/BnbScreening.jl,
2022,"ICASSP (IEEE International Conference on Acoustics, Speech, and Signal Processing)",Screen & relax: Accelerating the resolution of elastic-net by safe identification of the solution support,"Théo Guyard, Cédric Herzet, Clément Elvira",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9747412,,https://gitlab.insa-rennes.fr/Theo.Guyard/screen-and-relax,
2022,GRETSI (Conference of the French Signal Processing Society),Node-screening pour le problème des moindres carrés avec pénalité L0,"Théo Guyard, Cédric Herzet, Clément Elvira, Ayşe-Nur Arslan",http://gretsi.fr/data/colloque/pdf/2022_guyard740.pdf,,https://github.com/TheoGuyard/BnbScreening.jl,
2022,GRETSI (Conference of the French Signal Processing Society),Screen & relax: Accélérer la résolution du problème elastic-net par identification du support de la solution,"Théo Guyard, Cédric Herzet, Clément Elvira",http://gretsi.fr/data/colloque/pdf/2022_guyard741.pdf,,https://gitlab.insa-rennes.fr/Theo.Guyard/screen-and-relax,
